ID,太阁名,中文名,太阁类型,种类,语料出现次数,备注
taikou_troop_teppo_ashigaru_helmet_a,,菅笠,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_tobinin_do_a,,暗赤忍装束,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_totsunin_do_a,,赤茶重革胴丸,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_totsunin_helmet_a,,赤茶筋兜,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_elite_ashigaru_do_a,,朱革赤缀胴丸,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_elite_ashigaru_helmet_a,,朱革阵笠,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_yari_ashigaru_do_a,,茶革赤缀胴丸,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_yari_ashigaru_helmet_a,,茶革阵笠,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_yumi_ashigaru_do_a,,轻革弓胴丸,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_guard1_do_a,,茶革赤缀亲卫具足,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_guard1_helmet_a,,茶革护卫兜,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_guard3_do_a,,茶革密钉亲卫具足,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_guard3_helmet_a,,茶革护卫筋兜,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_guard4_do_a,,萌黄金漆亲卫具足,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_guard4_helmet_a,,金漆顶缨大兜,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_guard5_do_a,,赤茶轻装亲卫具足,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_guard5_helmet_a,,赤茶护卫小兜,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_kyushu_do_a,,赤茶革胴丸,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
taikou_troop_kyushu_helmet_a,,赤茶阵笠,,item,0,战无2 兵种装备（tools/sw2-pipeline/gen_troop_armor_items.py，2026-09-16 登记）
