ID,character名单名,内存编辑器名单名
889,无卡忍者,彥十
890,无卡忍者,玄之丞
891,无卡忍者,甚左一
892,无卡忍者,治兵衛
893,无卡忍者,寅藏
894,无卡忍者,嘉右衛門
895,无卡忍者,安兵衛
896,无卡忍者,棗
897,无卡忍者,鶴
898,无卡忍者,作兵衛
899,无卡忍者,瀨兵衛
900,无卡忍者,長三郎
901,无卡忍者,金五郎
902,无卡忍者,義兵衛
903,无卡忍者,仁右衛門
904,无卡忍者,又四郎
905,无卡忍者,九郎兵衛
906,无卡忍者,八左衛門
907,无卡忍者,鳩三郎
908,无卡忍者,茂兵衛
909,无卡忍者,安吉
910,无卡忍者,泉識坊
911,无卡忍者,總次
912,无卡忍者,勘吉
913,无卡商人,小十郎
914,无卡商人,三次郎
915,无卡商人,丑兵衛
916,无卡商人,辰之助
917,无卡商人,千代松
918,无卡商人,貞吉
919,无卡商人,儀助
920,无卡商人,新五郎
921,无卡商人,定九郎
922,无卡商人,林藏
923,无卡商人,安藏
924,无卡商人,清九郎
925,无卡商人,無天坊
926,无卡商人,周平
927,无卡商人,傳林坊
928,无卡商人,金左衛門
929,无卡商人,萬平
930,无卡商人,長助
931,无卡商人,滿作
932,无卡商人,伊三次
933,无卡商人,馬之助
934,无卡商人,卯吉
935,无卡商人,三平
936,无卡商人,金之助
937,无卡商人,孫作
938,无卡商人,六助
939,无卡商人,兵太
940,无卡商人,豬三郎
941,无卡商人,竹藏
942,无卡商人,實三郎
943,无卡商人,喜助
944,无卡商人,小吉
945,无卡商人,小平次
946,无卡商人,道由
947,无卡商人,角兵衛
948,无卡商人,助三郎
949,无卡商人,長五郎
950,无卡商人,勝藏
951,无卡商人,孫兵衛
952,无卡商人,勘六
953,无卡商人,玄齋
954,无卡商人,源阿彌
955,无卡商人,辰五郎
956,无卡商人,新助
957,无卡商人,彥馬
958,无卡商人,峰吉
959,无卡商人,富松
960,无卡商人,仙左衛門
961,无卡商人,寅吉
962,无卡商人,六郎次
963,无卡商人,平藏
964,无卡商人,新八
965,无卡商人,十平
966,无卡商人,彌三郎
967,无卡商人,吉兵衛
968,无卡商人,二十八
969,无卡商人,般若丸
970,无卡商人,七郎兵衛
971,无卡商人,半三郎
972,无卡商人,又助
973,无卡商人,太郎松
974,无卡商人,市之允
975,无卡海贼,平四郎
976,无卡海贼,力彌
977,无卡海贼,權七郎
978,无卡海贼,助二郎
979,无卡海贼,清兵衛
980,无卡海贼,與七郎
981,无卡海贼,新兵衛
982,无卡海贼,一若
983,无卡海贼,勘太夫
984,无卡海贼,源太夫
985,无卡海贼,源內
986,无卡海贼,隼人
987,无卡海贼,平馬
988,无卡海贼,德藏
989,无卡海贼,木工兵衛
990,无卡海贼,一角
991,无卡海贼,與三次
992,无卡海贼,藤馬
993,无卡海贼,梅吉
994,无卡海贼,雷助
995,无卡海贼,總之進
996,无卡海贼,善藏
997,无卡海贼,左內
998,无卡海贼,長吉
999,无卡海贼,鳶七
1000,无卡海贼,長谷川宗仁
1001,无卡海贼,長谷川等伯
1002,无卡海贼,狩野永德
1003,无卡海贼,本阿彌光悅
1004,无卡海贼,朝山日乘
1005,无卡海贼,快川紹喜
1006,无卡海贼,多聞院英俊
1007,无卡海贼,澤庵宗彭
1008,无卡海贼,佛羅伊斯
1009,无卡海贼,阿魯梅達
1010,无卡海贼,莉璐
1011,无卡海贼,拉斐耶魯
1012,无卡海贼,菊亭晴季
1013,无卡海贼,上杉憲政
1014,无卡海贼,天皇
1015,无卡海贼,三法師
1016,无卡海贼,淀夫人
1017,无卡海贼,寧寧
1018,无卡海贼,阿中
1019,无卡海贼,阿市
1020,无卡海贼,阿松
1021,无卡海贼,菊公主
1022,无卡海贼,早川夫人
1023,无卡海贼,相模
1024,无卡海贼,阿福
1025,无卡海贼,冬公主
1026,无卡海贼,阿梅
1027,无卡海贼,千代
1028,无卡海贼,築公主
1029,无卡海贼,義公主
1030,长谷川宗仁,豪公主
1031,长谷川等伯,阿玉
1032,狩野永德,歸蝶
1033,本阿弥光悦,瀨名
1034,朝山日乘,德公主
1035,快川绍喜,千代
1036,多闻院英俊,小松
1037,泽庵宗彭,安岐
1038,弗洛伊斯,三條
1039,阿尔梅达,初公主
1040,拉斐尔,小督
1041,丽璐,彥鶴
1042,菊亭晴季,永公主
1043,无,熙子
1044,天皇,幸圓
1045,三法师,春桃
1046,淀殿,出雲阿國
1047,宁宁,志津
1048,阿中,阿妙
1049,阿市,阿鈴
1050,阿松,阿通
1051,菊姬,阿春
1052,早川殿,小夜
1053,相模,阿綾
1054,阿福,阿夏
1055,冬姬,阿史
1056,阿梅,美代
1057,訚千代,
1058,爱姬,
1059,义姬,
1060,豪姬,
1061,阿玉,
1062,归蝶,
1063,濑名,
1064,德姬,
1065,千代,
1066,小松,
1067,安岐,
1068,三条,
1069,初姬,
1070,小督,
1071,彦鹤,
1072,永姬,
1073,熙子,
1074,幸圆,
1075,春桃,
1076,出云阿国,
1077,志津,
1078,阿妙,
1079,阿铃,
1080,阿通,
1081,阿春,
1082,阿史,
1083,美代,
1084,博古通今的老人,
1085,行商人,
1086,南光坊天海,
1087,虎哉宗乙,
1088,天室光育,
1089,海北友松,
1090,岭,
1091,千岁,
1092,蝴蝶,
1093,白㭴,
1094,新庄,
1095,山手,
1096,照姬,
1097,南姬,
1098,九郎判官义经,
1099,相马小次郎将门,
1100,由纪,
1101,小琴,
1102,阿仲,
1103,吾作,
1104,通用町人男,
1105,亡国公主(竹姬 樱姬 乙姬 万寿姬),
1106,竹千代,
1107,门卫,
1108,米屋老板,
1109,马屋老板,
1110,酒馆老板娘,
1111,旅店老板娘,
1112,农民男,
1113,农民女、阿夏,
1114,町民男,
1115,町民女、小夜,
1116,商人,
1117,僧侣,
1118,剑术教头,
1119,公家,
1120,忍者,
1121,备大将,
1122,旅人,
1123,喝醉的男人,
1124,喝醉的女人,
1125,奇怪的姑娘、阿绫,
1126,女忍者,
1127,小孩,
1128,家童(小姓),
1129,保镖,
1130,贼,
1131,座的掌柜,
1132,朝鲜商人,
1133,明朝商人,
1134,琉球商人,
1135,南蛮商人,
1136,掌柜,
1137,锻冶匠,
1138,医师,
1139,代理教头,
1140,海贼,
1141,枪术教头,
1142,女孩,
1143,男仆,
1144,代理教头,
1145,代理教头,
1146,老奶奶,
1147,山贼头目,
1148,海贼头目,
1149,备大将,
1150,忍者,
1151,海贼,
1152,明智光秀,
1153,石田三成,
1154,织田信长,
1155,加藤清正,
1156,蒲生氏乡,
1157,九鬼嘉隆,
1158,黑田如水,
1159,小西行长,
1160,小早川隆景,
1161,真田昌幸,
1162,真田幸村,
1163,柴田胜家,
1164,岛清兴,
1165,岛津义久,
1166,岛津义弘,
1167,竹中半兵卫,
1168,伊达政宗,
1169,藤堂高虎,
1170,木下小一郎,
1171,木下小一郎,
1172,木下藤吉郎,
1173,木下藤吉郎,
1174,木下藤吉郎,
1175,直江兼续,
1176,吕宋助左卫门,
1177,服部半藏,
1178,福岛正则,
1179,本多忠胜,
1180,前田庆次,
1181,前田利家,
1182,宫本武藏,
1183,村上武吉,
1184,最上义光,
1185,山中鹿介,
1186,宁宁,
1187,阿中,
1188,大宝寺义兴,
1189,大野治房,
1190,水原亲宪,
1191,津轻信枚,
1192,小山田茂诚,
1193,十时连贞,
1194,井伊直孝,
1195,片仓重长,
1196,成田长亲,
1197,最上家亲,
1198,上田重安,
1199,小梁川宗朝,
1200,大国实赖,
1201,梅津政景,
1202,三渊藤英,
1203,本多政重,
1204,栗山善助,
1205,多贺谷政广,
1206,土岐为赖,
1207,舞兵库,
1208,山上道及,
1209,蜂须贺至镇,
1210,真田信尹,
1211,伊东满所,
1212,宫部长房,
1213,朝比奈信置,
1214,金森可重,
1215,斯波义银,
1216,毛利秀赖,
1217,津川义冬,
1218,留守显宗,
1219,原长赖,
1220,平塚为广,
1221,妻木广忠,
1222,鸟屋尾满荣,
1223,野村直隆,
1224,土居清良,
1225,岛津忠直,
1226,一柳直末,
1227,三木直赖,
1228,杉浦玄任,
1229,色部显长,
1230,中条藤资,
1231,江上家种,
1232,甘粕景继,
1233,安田作兵卫,
1234,河野通直,
1235,姊小路良赖,
1236,竹中久作,
1237,阿闭贞征,
1238,森田浄云,
1239,熊谷元直,
1240,明智光安,
1241,别所重栋,
1242,小川祐忠,
1243,吉弘镇信,
1244,佃十成,
1245,大谷吉治,
1246,有马丰氏,
1247,神代胜利,
1248,赤星统家,
1249,伊集院忠朗,
1250,桦山久高,
1251,藤田信吉,
1252,间宫康俊,
1253,由布惟信,
1254,小滨光隆,
1255,天草四郎,
1256,船越景直,
1257,伊达小次郎,
1258,金光文右卫门,
1259,友野宗善,
1260,多米元忠,
1261,宇野源十郎,
1262,津田宗凡,
1263,末次平藏,
1264,甘粕景持,
1265,山崎吉家,
1266,唐泽玄蕃,
1267,植田光次,
1268,大林坊俊海,
1269,内田托马,
1270,奥弥兵卫,
1271,泰泉寺丰后,
1272,后藤宗印,
1273,爱洲元香斋,
1274,上泉泰纲,
1275,濑户方久,
1276,苏我理右卫门,
1277,松下常庆,
1278,曲直濑玄朔,
1279,三枝昌贞,
1280,石田正澄,
1281,一柳直盛,
1282,驹井高白斋,
1283,镰田政年,
1284,清水景治,
1285,千千石米格尔,
1286,弥助,
1287,三浦按针,
1288,海雷丁,
1289,佐伯杏太郎,
1290,玛丽亚(李华梅),
1291,蒂雅,
