city_idx,name_history,owner_chain
166,人吉城,54:相良义阳(5200) 60:相良义阳(5800) 68:相良义阳(7400) 75:相良义阳(8600) 82:相良赖房(9800) 98:相良赖房(14000)
167,八代城,54:相良义阳(5200) 60:相良义阳(5800) 68:相良义阳(7400) 75:相良义阳(8600) 82:岛津义久(9800) 98:小西行长(14000)
168,城井谷城,54:城井镇房(4000) 60:城井镇房(4000) 68:城井镇房(7400) 75:城井镇房(8600) 82:城井镇房(9800) 98:黑田长政(14000)
169,小仓城,54:大内义长(6400) 60:大友宗麟(7600) 68:大友宗麟(9200) 75:高桥鉴种(10200) 82:毛利辉元(11600) 98:毛利胜永(18000)
170,府内城,54:大友宗麟(6400) 60:大友宗麟(7600) 68:大友宗麟(9200) 75:大友宗麟(10200) 82:大友宗麟(11600) 98:黑田长政(16000)
171,冈城,54:志贺亲守(4000) 60:志贺亲守(4000) 68:志贺亲守(7400) 75:志贺亲守(8600) 82:志贺亲守(9800) 98:丰臣秀赖(12000)
172,佐伯城,54:大友宗麟(5200) 60:大友宗麟(5800) 68:大友宗麟(7400) 75:大友宗麟(8600) 82:佐伯惟定(9800) 98:丰臣秀赖(12000)
173,都於郡城,54:伊东义祐(5200) 60:伊东义祐(5800) 68:伊东义祐(7400) 75:伊东义祐(8600) 82:岛津义久(9800) 98:岛津丰久(12000)
174,饫肥城,54:伊东义祐(5200) 60:伊东义祐(5800) 68:伊东义祐(7400) 75:伊东义祐(8600) 82:岛津义久(9800) 98:伊东祐兵(14000)
175,县城,54:伊东义祐(5200) 60:伊东义祐(5800) 68:伊东义祐(7400) 75:伊东义祐(8600) 82:岛津义久(9800) 98:岛津义弘(12000)
176,大隅高山城,54:肝付兼续(4000) 60:肝付兼续(4000) 68:肝付良兼(7400) 75:肝付兼护(8600) 82:肝付兼护(9800) 98:岛津义久(12000)
177,加治木城,54:肝付兼续(5200) 60:肝付兼续(5800) 68:肝付良兼(7400) 75:岛津义久(8600) 82:岛津义久(9800) 98:岛津义久(14000)
178,内城,54:岛津贵久(7600) 60:岛津贵久(9400) 68:岛津贵久(11000) 75:岛津义久(11800) 82:岛津义久(13400) 98:岛津义弘(16000)
179,出水城,54:岛津义虎(4000) 60:岛津义虎(4000) 68:岛津义虎(7400) 75:岛津义虎(8600) 82:岛津义虎(9800) 98:岛津义弘(12000)
