合成号,hero_id,名前,职业,槽号_1554,槽号_1560,槽号_1568,槽号_1575,槽号_1582,槽号_1598,组织_1554,组织_1560,组织_1568,组织_1575,组织_1582,组织_1598
9231,lord_tk5_trader_kanichiroo,贯一郎,trader,1022,,1000,,1022,1069,越后屋,,角屋,,大西屋,鸿池屋
9232,lord_tk5_trader_kankichi,勘吉,trader,1001,1072,,1000,,,角屋,坂田屋,,角屋,,
9233,lord_tk5_trader_kanpachi,勘八,trader,1053,,1008,,,1092,组屋,,纳屋,,,镫屋
9234,lord_tk5_trader_kansaburoo,宽三郎,trader,,1102,1026,,1017,,,小西屋,博多屋,,平野屋,
9235,lord_tk5_trader_kanuemon,勘右卫门,trader,,1032,,1038,1045,,,虎屋,,角仓屋,川舟屋,
9236,lord_tk5_trader_katsuzoo,胜藏,trader,,1110,,,1053,,,小西屋,,,神屋,
9237,lord_tk5_trader_kazusuke,和助,trader,1033,,,1009,,1082,茶屋,,,虎屋,,川舟屋
9238,lord_tk5_trader_kichibee,吉兵卫,trader,,1127,,1033,1034,,,友野屋,,天王寺屋,天王寺屋,
9239,lord_tk5_trader_kikuta,闻太,trader,,,1012,,1046,1058,,,虎屋,,川舟屋,下关屋
9240,lord_tk5_trader_kingoroo,金五郎,trader,,1061,,,1013,,,茶屋,,,淀屋,
9241,lord_tk5_trader_kinnosuke,金之助,trader,,1096,,1014,1020,,,天王寺屋,,坂田屋,播磨屋,
9242,lord_tk5_trader_kinshiroo,金四郎,trader,,,1006,1041,,1079,,,纳屋,梁田屋,,川舟屋
9243,lord_tk5_trader_kisuke,喜助,trader,1036,1103,,1006,,,茶屋,小西屋,,纳屋,,
9244,lord_tk5_trader_kiyobee,清兵卫,trader,,1139,,,1051,,,大西屋,,,神屋,
9245,lord_tk5_trader_kiyokuroo,清九郎,trader,,1084,1020,1031,,,,天王寺屋,小西屋,下关屋,,
9246,lord_tk5_trader_koganeji,小金次,trader,,,1010,1046,,1078,,,虎屋,川舟屋,,神屋
9247,lord_tk5_trader_koheiji,小平次,trader,1026,1105,,,1040,,大西屋,小西屋,,,梁田屋,
9248,lord_tk5_trader_komashiroo,驹四郎,trader,1047,,,1029,1054,1088,友野屋,,,茶屋,山形屋,茶屋
9249,lord_tk5_trader_koosaku,幸作,trader,1049,,1043,1040,,1083,梁田屋,,梁田屋,梁田屋,,组屋
9250,lord_tk5_trader_koyata,小弥太,trader,1020,,1032,,,1100,越后屋,,下关屋,,,播磨屋
9251,lord_tk5_trader_kubee,九兵卫,trader,1009,1044,,1042,,,纳屋,镫屋,,组屋,,
9252,lord_tk5_trader_kumakichi,熊吉,trader,,1014,1015,1018,,,,纳屋,坂田屋,小西屋,,
9253,lord_tk5_trader_kuninosuke,国之辅,trader,1028,,1023,,,1075,大西屋,,大西屋,,,神屋
9254,lord_tk5_trader_kurosuke,黑助,trader,,,,1008,,1086,,,,纳屋,,组屋
9255,lord_tk5_trader_kyuusaburoo,鸠三郎,trader,,1067,1009,,1039,,,伊藤屋,纳屋,,梁田屋,
9256,lord_tk5_trader_magoshiroo,孙四郎,trader,,1018,1004,,1015,,,下关屋,伊藤屋,,平野屋,
9257,lord_tk5_trader_magouemon,孙右卫门,trader,,,,,1018,1074,,,,,播磨屋,山形屋
9258,lord_tk5_trader_manjiroo,万次郎,trader,,,1027,1048,,1059,,,博多屋,镫屋,,角屋
9259,lord_tk5_trader_matanojo,又之丞,trader,1052,,,,1042,1080,组屋,,,,组屋,川舟屋
9260,lord_tk5_trader_matashiroo,又四郎,trader,1035,1064,,1010,,,茶屋,伊藤屋,,虎屋,,
9261,lord_tk5_trader_matsushichiroo,松七郎,trader,,,1011,,1049,1102,,,虎屋,,镫屋,播磨屋
9262,lord_tk5_trader_minekichi,峰吉,trader,1027,1118,1049,,,,大西屋,梁田屋,川舟屋,,,
9263,lord_tk5_trader_minezoo,峰藏,trader,,,,1004,1007,1099,,,,伊藤屋,纳屋,播磨屋
9264,lord_tk5_trader_osamubee,理兵卫,trader,,,1018,1012,,1089,,,越后屋,坂田屋,,茶屋
9265,lord_tk5_trader_rihachi,利八,trader,,1016,1045,,1032,,,纳屋,组屋,,下关屋,
9266,lord_tk5_trader_rokuroobee,六郎兵卫,trader,,,1028,1051,1044,1097,,,茶屋,神屋,组屋,纳屋
9267,lord_tk5_trader_rokuzaemon,六左卫门,trader,,1005,1019,1011,,,,角屋,小西屋,虎屋,,
9268,lord_tk5_trader_saburoobee,三郎兵卫,trader,1046,,,1030,,1081,友野屋,,,下关屋,,川舟屋
9269,lord_tk5_trader_sachikichi,幸吉,trader,1011,,,,1052,1070,纳屋,,,,神屋,鸿池屋
9270,lord_tk5_trader_sadakichi,贞吉,trader,,1078,1016,,1037,,,坂田屋,越后屋,,角仓屋,
9271,lord_tk5_trader_saikuroo,才九郎,trader,1013,,1022,1027,,1084,虎屋,,大西屋,茶屋,,组屋
9272,lord_tk5_trader_saishichi,才七,trader,,,,1005,1024,1107,,,,伊藤屋,博多屋,淀屋
9273,lord_tk5_trader_sakubee,作兵卫,trader,1037,1058,,1026,,,下关屋,组屋,,博多屋,,
9274,lord_tk5_trader_sakutaroo,作太郎,trader,,,1038,,,1109,,,友野屋,,,淀屋
9275,lord_tk5_trader_sanhei,三平,trader,,,,,,1095,,,,,,纳屋
9276,lord_tk5_trader_sebee,濑兵卫,trader,1048,1059,,1022,,,梁田屋,虎屋,,大西屋,,
9277,lord_tk5_trader_senji,专次,trader,,1031,,,1048,,,角屋,,,镫屋,
9278,lord_tk5_trader_senzoo,仙造,trader,,1027,,1002,,,,博多屋,,角屋,,
9279,lord_tk5_trader_shichiroobee,七郎兵卫,trader,1007,1130,,,,,伊藤屋,大西屋,,,,
9280,lord_tk5_trader_shigebee,茂兵卫,trader,1045,1068,,,1000,,友野屋,伊藤屋,,,角屋,
9281,lord_tk5_trader_shigesaburoo,茂三郎,trader,1050,,,,1043,1064,梁田屋,,,,组屋,角仓屋
9282,lord_tk5_trader_shinbee,新兵卫,trader,,1141,,1053,1005,,,角屋,,神屋,伊藤屋,
9283,lord_tk5_trader_shinjuuroo,新十郎,trader,,,1024,1032,,1112,,,大西屋,下关屋,,梁田屋
9284,lord_tk5_trader_shinnosuke,新之助,trader,,,,1025,,1111,,,,博多屋,,梁田屋
9285,lord_tk5_trader_shinsuke,新助,trader,,1116,1030,,1038,,,下关屋,茶屋,,角仓屋,
9286,lord_tk5_trader_shinuemon,新右卫门,trader,1004,1011,1042,,,,伊藤屋,纳屋,梁田屋,,,
9287,lord_tk5_trader_shinzaemon,新左卫门,trader,,,,1039,,1096,,,,梁田屋,,纳屋
9288,lord_tk5_trader_shuuhei,周平,trader,,1086,1041,,1019,,,天王寺屋,梁田屋,,播磨屋,
9289,lord_tk5_trader_sooji,惣次,trader,1054,1071,1048,,,,组屋,坂田屋,川舟屋,,,
9290,lord_tk5_trader_sukegoroo,助五郎,trader,1024,,,1049,,1061,小西屋,,,镫屋,,角屋
9291,lord_tk5_trader_sukejiroo,助二郎,trader,1032,1138,,,1003,,博多屋,大西屋,,,伊藤屋,
9292,lord_tk5_trader_sukeroku,助六,trader,1010,,,,1008,1105,纳屋,,,,纳屋,平野屋
9293,lord_tk5_trader_sukesaburoo,助三郎,trader,1025,1108,,1036,,,小西屋,镫屋,,角仓屋,,
9294,lord_tk5_trader_tairabee,平兵卫,trader,,,1021,,1029,1104,,,小西屋,,茶屋,平野屋
9295,lord_tk5_trader_tairahachiroo,平八郎,trader,1017,,1034,,,1093,坂田屋,,下关屋,,,镫屋
9296,lord_tk5_trader_tairasuke,平助,trader,,1025,,1023,1027,,,博多屋,,大西屋,茶屋,
9297,lord_tk5_trader_takezoo,竹藏,trader,,1101,,,1031,,,虎屋,,,下关屋,
9298,lord_tk5_trader_tamanosuke,玉之助,trader,,,,,1050,1056,,,,,镫屋,下关屋
9299,lord_tk5_trader_tamasaburoo,玉三郎,trader,1005,,1040,1017,,1108,伊藤屋,,友野屋,越后屋,,淀屋
9300,lord_tk5_trader_tanzaemon,丹左卫门,trader,,,1029,,1009,1073,,,茶屋,,虎屋,山形屋
9301,lord_tk5_trader_tatsunosuke,辰之助,trader,1008,1076,1046,,,,纳屋,友野屋,组屋,,,
9302,lord_tk5_trader_tetsujiroo,铁次郎,trader,,,,,,1076,,,,,,神屋
9303,lord_tk5_trader_tetsutaroo,铁太郎,trader,1038,,1005,1047,,,下关屋,,伊藤屋,川舟屋,,
9304,lord_tk5_trader_tokuzoo,德藏,trader,1040,1148,,,,,下关屋,越后屋,,,,
9305,lord_tk5_trader_tomekichi,留吉,trader,1012,,1007,,,1085,虎屋,,纳屋,,,组屋
9306,lord_tk5_trader_tomimatsu,富松,trader,,1119,,,1014,,,梁田屋,,,淀屋,
9307,lord_tk5_trader_tomisuke,富助,trader,,,,1034,,1114,,,,天王寺屋,,梁田屋
9308,lord_tk5_trader_torajiroo,虎次郎,trader,,,1052,,1021,1057,,,镫屋,,大西屋,下关屋
9309,lord_tk5_trader_torakichi,寅吉,trader,1051,1121,,1016,,,梁田屋,梁田屋,,越后屋,,
9310,lord_tk5_trader_toshisaburoo,利三郎,trader,1039,,,1007,,1106,下关屋,,,纳屋,,平野屋
9311,lord_tk5_trader_ukichi,卯吉,trader,,,,,,1094,,,,,,镫屋
9312,lord_tk5_trader_umekichi,梅吉,trader,1044,1153,,1044,1036,,天王寺屋,越后屋,,组屋,角仓屋,
9313,lord_tk5_trader_ushimatsu,丑松,trader,,1026,1055,1015,,,,组屋,神屋,越后屋,,
9314,lord_tk5_trader_uuemon,宇右卫门,trader,,,,1045,1002,1062,,,,川舟屋,角屋,角屋
9315,lord_tk5_trader_xE413_兵卫,兵卫,trader,,1149,1033,1043,,,,越后屋,下关屋,组屋,,
9316,lord_tk5_trader_xE413_右卫门,右卫门,trader,1041,,,,1004,1090,天王寺屋,,,,伊藤屋,茶屋
9317,lord_tk5_trader_yasujiroo,安二郎,trader,1031,,,,1001,1077,博多屋,,,,角屋,神屋
9318,lord_tk5_trader_yasukichi,安吉,trader,1043,1069,1039,,,,天王寺屋,坂田屋,友野屋,,,
9319,lord_tk5_trader_yasuzoo,安藏,trader,,1083,,1037,1025,,,天王寺屋,,角仓屋,博多屋,
9320,lord_tk5_trader_yazaemon,弥左卫门,trader,,,1047,1050,,1065,,,川舟屋,镫屋,,角仓屋
9321,lord_tk5_trader_yobee,与兵卫,trader,1021,,1025,,,1055,越后屋,,博多屋,,,下关屋
9322,lord_tk5_trader_yoheiji,与平次,trader,,,1051,,1047,1098,,,镫屋,,川舟屋,纳屋
9323,lord_tk5_trader_yosaburoo,与三郎,trader,,1009,1001,,1011,,,纳屋,角屋,,虎屋,
9324,lord_tk5_trader_yoshibee,义兵卫,trader,1016,1062,1002,,,,坂田屋,下关屋,角屋,,,
9325,lord_tk5_trader_yoshichiroo,与七郎,trader,1000,1140,,1028,,,角屋,川舟屋,,茶屋,,
9326,lord_tk5_trader_yoshiuemon,嘉右卫门,trader,,1054,,,1055,,,茶屋,,,山形屋,
9327,lord_tk5_trader_zenpachi,善八,trader,1002,,,1052,,1110,角屋,,,神屋,,淀屋
9328,lord_tk5_trader_zenuemon,善右卫门,trader,,1017,,1054,1035,,,角屋,,山形屋,天王寺屋,
