合成号,ID,名前,职业,罗马音,置信度,出现年代,各年代槽号,各年代组织,是否当主
9069,lord_tk5_ninja_sadakuroo,定九郎,ninja,sadakuroo,高,1554|1560|1568|1575,1554:1074|1560:1081|1568:1074|1575:1064,1554:透波众|1560:风魔众|1568:透波众|1575:风魔众,
9055,lord_tk5_ninja_miyamon,宫门,ninja,miyamon,高,1568|1575|1598,1568:1064|1575:1098|1598:1142,1568:风魔众|1575:外闻众|1598:户隐众,
9048,lord_tk5_ninja_kogoroo,小五郎,ninja,kogoroo,高,1575|1582|1598,1575:1076|1582:1072|1598:1145,1575:透波众|1582:轩猿众|1598:户隐众,
9059,lord_tk5_ninja_naonosuke,尚之助,ninja,naonosuke,高,1554|1568|1598,1554:1078|1568:1093|1598:1121,1554:甲贺众|1568:钵屋众|1598:伊贺众,
9013,lord_tk5_ninja_ganbaku,岩蓦,ninja,ganbaku,高,1554|1560|1575,1554:1079|1560:1045|1575:1102,1554:甲贺众|1560:伊贺众|1575:山潜众,
9071,lord_tk5_ninja_sanai,左内,ninja,sanai,高,1560|1582,1560:1157|1582:1061,1560:甲贺众|1582:户隐众,
9074,lord_tk5_ninja_sazen,左膳,ninja,sazen,高,1575|1582|1598,1575:1091|1582:1067|1598:1123,1575:根来众|1582:风魔众|1598:伊贺众,
9086,lord_tk5_ninja_tatewaki,带刀,ninja,tatewaki,高,1554|1575|1598,1554:1097|1575:1062|1598:1122,1554:外闻众|1575:户隐众|1598:山潜众,
9082,lord_tk5_ninja_tairaza,平左,ninja,tairaza,高,1560|1575|1582,1560:1039|1575:1089|1582:1094,1560:羽黑众|1575:根来众|1582:根来众,
9081,lord_tk5_ninja_tairaji,平次,ninja,tairaji,高,1568|1582|1598,1568:1098|1582:1077|1598:1133,1568:外闻众|1582:透波众|1598:外闻众,
9020,lord_tk5_ninja_gennyoosai,幻妖斋,ninja,gennyoosai,高,1554|1575|1582|1598,1554:1103|1575:1070|1582:1095|1598:1150,1554:山潜众|1575:轩猿众|1582:根来众|1598:根来众,
9047,lord_tk5_ninja_koan,弘庵,ninja,koan,高,1568|1598,1568:1071|1598:1119,1568:轩猿众|1598:伊贺众,
9092,lord_tk5_ninja_yasaburoo,弥三郎,ninja,yasaburoo,高,1554|1560|1568|1575,1554:1092|1560:1126|1568:1092|1575:1092,1554:钵屋众|1560:钵屋众|1568:钵屋众|1575:钵屋众,是
9090,lord_tk5_ninja_yagenji,弥源次,ninja,yagenji,高,1560|1575|1582,1560:1006|1575:1107|1582:1070,1560:户隐众|1575:羽黑众|1582:风魔众,
9095,lord_tk5_ninja_yazoo,弥藏,ninja,yazoo,高,1568|1575|1598,1568:1102|1575:1099|1598:1152,1568:山潜众|1575:外闻众|1598:根来众,
9027,lord_tk5_ninja_hikoshichiroo,彦七郎,ninja,hikoshichiroo,高,1554|1568|1582|1598,1554:1075|1568:1096|1582:1060|1598:1144,1554:透波众|1568:外闻众|1582:黑胫巾众|1598:户隐众,
9026,lord_tk5_ninja_hikojuu,彦十,ninja,hikojuu,高,1554|1560|1575|1582,1554:1091|1560:1049|1575:1097|1582:1086,1554:根来众|1560:户隐众|1575:外闻众|1582:伊贺众,
9080,lord_tk5_ninja_soonoshin,惣之进,ninja,soonoshin,高,1560|1575|1582,1560:1155|1575:1082|1582:1089,1560:山潜众|1575:甲贺众|1582:伊贺众,
9000,lord_tk5_ninja_bunkichi,文吉,ninja,bunkichi,高,1582|1598,1582:1088|1598:1136,1582:伊贺众|1598:外闻众,
9057,lord_tk5_ninja_mutenboo,无天坊,ninja,mutenboo,高,1554|1560|1582,1554:1099|1560:1085|1582:1058,1554:外闻众|1560:根来众|1582:黑胫巾众,
9054,lord_tk5_ninja_meigaku,明岳,ninja,meigaku,高,1554|1598,1554:1084|1598:1153,1554:伊贺众|1598:根来众,
9060,lord_tk5_ninja_natsume,枣,ninja,natsume,高,1554|1560|1568,1554:1057|1560:1056|1568:1057,1554:黑胫巾众|1560:黑胫巾众|1568:黑胫巾众,
9042,lord_tk5_ninja_kaede,枫,ninja,kaede,高,1554|1560|1568,1554:1061|1560:1040|1568:1061,1554:户隐众|1560:户隐众|1568:户隐众,
9091,lord_tk5_ninja_yanagisai,柳斋,ninja,yanagisai,高,1598,1598:1156,1598:伊贺众,
9098,lord_tk5_ninja_yumenosuke,梦之助,ninja,yumenosuke,高,1554|1575|1598,1554:1086|1575:1081|1598:1134,1554:伊贺众|1575:甲贺众|1598:外闻众,
9043,lord_tk5_ninja_kajisuke,梶助,ninja,kajisuke,高,1554|1560|1582,1554:1096|1560:1036|1582:1066,1554:外闻众|1560:轩猿众|1582:风魔众,
9053,lord_tk5_ninja_masasuke,正助,ninja,masasuke,高,1554|1582|1598,1554:1107|1582:1080|1598:1118,1554:羽黑众|1582:透波众|1598:甲贺众,
9004,lord_tk5_ninja_dankuroo,段九郎,ninja,dankuroo,高,1575|1582|1598,1575:1100|1582:1100|1598:1130,1575:山潜众|1582:山潜众|1598:山潜众,是
9075,lord_tk5_ninja_senshikiboo,泉识坊,ninja,senshikiboo,高,1554|1560|1568|1598,1554:1088|1560:1070|1568:1082|1598:1151,1554:根来众|1560:根来众|1568:甲贺众|1598:根来众,
9028,lord_tk5_ninja_hokkaiboo,法海坊,ninja,hokkaiboo,高,1554|1568|1575|1598,1554:1064|1568:1099|1575:1071|1598:1154,1554:风魔众|1568:外闻众|1575:轩猿众|1598:根来众,
9017,lord_tk5_ninja_gengobee,源五兵卫,ninja,gengobee,高,1568|1575|1582|1598,1568:1066|1575:1088|1582:1082|1598:1157,1568:风魔众|1575:根来众|1582:甲贺众|1598:伊贺众,
9016,lord_tk5_ninja_gengo,源吾,ninja,gengo,高,1554|1575|1598,1554:1089|1575:1103|1598:1139,1554:根来众|1575:山潜众|1598:轩猿众,
9015,lord_tk5_ninja_gendayuu,源太夫,ninja,gendayuu,高,1554|1560|1568,1554:1100|1560:1144|1568:1100,1554:山潜众|1560:山潜众|1568:山潜众,是
9018,lord_tk5_ninja_gennami,源阿弥,ninja,gennami,高,1560|1568|1582,1560:1114|1568:1065|1582:1090,1560:风魔众|1568:风魔众|1582:伊贺众,
9052,lord_tk5_ninja_mansaku,满作,ninja,mansaku,高,1560|1575|1582,1560:1091|1575:1093|1582:1087,1560:透波众|1575:钵屋众|1582:伊贺众,
9049,lord_tk5_ninja_kumanosuke,熊之助,ninja,kumanosuke,高,1554|1568,1554:1102|1568:1063,1554:山潜众|1568:户隐众,
9019,lord_tk5_ninja_gennojo,玄之丞,ninja,gennojo,高,1560|1568|1575,1560:1050|1568:1068|1575:1056,1560:甲贺众|1568:风魔众|1575:黑胫巾众,
9022,lord_tk5_ninja_gensai,玄斋,ninja,gensai,高,1554|1560|1568,1554:1065|1560:1113|1568:1067,1554:风魔众|1560:风魔众|1568:风魔众,
9021,lord_tk5_ninja_genryuu,玄龙,ninja,genryuu,高,1568|1575|1598,1568:1070|1575:1066|1598:1129,1568:轩猿众|1575:风魔众|1598:羽黑众,
9039,lord_tk5_ninja_jinroku,甚六,ninja,jinroku,高,1554|1560|1568|1575,1554:1072|1560:1038|1568:1081|1575:1096,1554:轩猿众|1560:轩猿众|1568:甲贺众|1575:外闻众,
9037,lord_tk5_ninja_jinnai,甚内,ninja,jinnai,高,1560|1568|1575|1582,1560:1004|1568:1080|1575:1079|1582:1075,1560:伊贺众|1568:甲贺众|1575:甲贺众|1582:轩猿众,
9040,lord_tk5_ninja_jinza,甚左,ninja,jinza,高,1554|1560|1568,1554:1090|1560:1051|1568:1079,1554:根来众|1560:甲贺众|1568:甲贺众,
9024,lord_tk5_ninja_hakuunsai,白云斋,ninja,hakuunsai,高,1598,1598:1115,1598:甲贺众,是
9029,lord_tk5_ninja_hyakkimaru,百鬼丸,ninja,hyakkimaru,高,1554|1568|1598,1554:1106|1568:1097|1598:1135,1554:羽黑众|1568:外闻众|1598:外闻众,
9035,lord_tk5_ninja_ishimatsu,石松,ninja,ishimatsu,高,1554|1560|1575,1554:1082|1560:1019|1575:1078,1554:甲贺众|1560:外闻众|1575:甲贺众,
9056,lord_tk5_ninja_momiji,红叶,ninja,momiji,高,1575|1582|1598,1575:1057|1582:1057|1598:1147,1575:黑胫巾众|1582:黑胫巾众|1598:黑胫巾众,
9025,lord_tk5_ninja_hannyamaru,般若丸,ninja,hannyamaru,高,1554|1560|1575,1554:1101|1560:1129|1575:1080,1554:山潜众|1560:钵屋众|1575:甲贺众,
9046,lord_tk5_ninja_kikunosuke,菊之助,ninja,kikunosuke,高,1554|1560|1568|1575,1554:1077|1560:1020|1568:1062|1575:1060,1554:透波众|1560:外闻众|1568:户隐众|1575:户隐众,
9012,lord_tk5_ninja_fujima,藤马,ninja,fujima,高,1554|1560|1568|1582,1554:1059|1560:1152|1568:1090|1582:1105,1554:黑胫巾众|1560:根来众|1568:根来众|1582:羽黑众,
9044,lord_tk5_ninja_kakuma,觉马,ninja,kakuma,高,1554|1568|1575,1554:1070|1568:1060|1575:1090,1554:轩猿众|1568:户隐众|1575:根来众,
9010,lord_tk5_ninja_dooyu,道由,ninja,dooyu,高,1560|1568|1598,1560:1106|1568:1091|1598:1126,1560:根来众|1568:根来众|1598:羽黑众,
9009,lord_tk5_ninja_dooken,道贤,ninja,dooken,高,1575|1582|1598,1575:1077|1582:1101|1598:1149,1575:透波众|1582:山潜众|1598:黑胫巾众,
9008,lord_tk5_ninja_dookan,道闲,ninja,dookan,高,1554|1560|1568,1554:1069|1560:1037|1568:1069,1554:轩猿众|1560:轩猿众|1568:轩猿众,是
9007,lord_tk5_ninja_dooami,道阿弥,ninja,dooami,高,1554|1568|1575,1554:1067|1568:1089|1575:1068,1554:风魔众|1568:根来众|1575:风魔众,
9023,lord_tk5_ninja_ginhachiroo,银八郎,ninja,ginhachiroo,高,1554|1575|1582|1598,1554:1060|1575:1058|1582:1098|1598:1148,1554:户隐众|1575:黑胫巾众|1582:外闻众|1598:黑胫巾众,
9002,lord_tk5_ninja_choukichi,长吉,ninja,choukichi,高,1560|1582,1560:1158|1582:1096,1560:甲贺众|1582:外闻众,
9067,lord_tk5_ninja_ryuugen,隆玄,ninja,ryuugen,高,1598,1598:1158,1598:甲贺众,
9063,lord_tk5_ninja_raisuke,雷助,ninja,raisuke,高,1560|1575|1582,1560:1154|1575:1095|1582:1068,1560:山潜众|1575:钵屋众|1582:风魔众,
9077,lord_tk5_ninja_shizuma,静马,ninja,shizuma,高,1554|1568|1575|1598,1554:1087|1568:1076|1575:1083|1598:1125,1554:伊贺众|1568:透波众|1575:伊贺众|1598:羽黑众,
9088,lord_tk5_ninja_tobishichi,鸢七,ninja,tobishichi,高,1560|1575|1582,1560:1159|1575:1087|1582:1083,1560:户隐众|1575:伊贺众|1582:甲贺众,
9132,lord_tk5_pirate_ikkan,一贯,pirate,ikkan,高,1554|1568|1582|1598,1554:1112|1568:1154|1582:1128|1598:1029,1554:房总水军|1568:五岛水军|1582:熊野水军|1598:村上水军,
9155,lord_tk5_pirate_manchiyo,万千代,pirate,manchiyo,高,1575|1582|1598,1575:1122|1582:1130|1598:1050,1575:骏河水军|1582:丹后水军|1598:房总水军,
9171,lord_tk5_pirate_sanshiroo,三四郎,pirate,sanshiroo,高,1598,1598:1026,1598:村上水军,
9169,lord_tk5_pirate_sanhei,三平,pirate,sanhei,高,1560|1575,1560:1095|1575:1151,1560:盐饱水军|1575:丰后水军,
9165,lord_tk5_pirate_saburoota,三郎太,pirate,saburoota,高,1575|1582|1598,1575:1142|1582:1139|1598:1024,1575:村上水军|1582:村上水军|1598:江户水军,
9206,lord_tk5_pirate_yosoji,与三次,pirate,yosoji,高,1560|1575|1582,1560:1151|1575:1143|1582:1150,1560:熊野水军|1575:村上水军|1582:丰后水军,
9200,lord_tk5_pirate_ushigoroo,丑五郎,pirate,ushigoroo,高,1598,1598:1033,1598:丹后水军,是
9199,lord_tk5_pirate_ushibee,丑兵卫,pirate,ushibee,高,1554|1560|1575,1554:1135|1560:1075|1575:1118,1554:淡路水军|1560:土佐水军|1575:相模水军,
9188,lord_tk5_pirate_tamegoroo,为五郎,pirate,tamegoroo,高,1560|1568|1575,1560:1034|1568:1125|1575:1132,1560:五岛水军|1568:熊野水军|1575:淡路水军,
9189,lord_tk5_pirate_tameuemon,为右卫门,pirate,tameuemon,高,1582|1598,1582:1149|1598:1021,1582:丰后水军|1598:江户水军,
9129,lord_tk5_pirate_hisadayuu,久太夫,pirate,hisadayuu,高,1560|1568|1575,1560:1008|1568:1127|1575:1126,1560:丰后水军|1568:熊野水军|1575:熊野水军,
9152,lord_tk5_pirate_kuroobee,九郎兵卫,pirate,kuroobee,高,1560|1568|1582,1560:1065|1568:1159|1582:1142,1560:淡路水军|1568:坊津水军|1582:村上水军,
9172,lord_tk5_pirate_sendayuu,仙太夫,pirate,sendayuu,高,1554|1568|1598,1554:1146|1568:1129|1598:1006,1554:土佐水军|1568:丹后水军|1598:盐饱水军,
9173,lord_tk5_pirate_senzaemon,仙左卫门,pirate,senzaemon,高,1554|1560|1568|1575|1582,1554:1108|1560:1120|1568:1108|1575:1108|1582:1108,1554:安东水军|1560:安东水军|1568:安东水军|1575:安东水军|1582:安东水军,是
9116,lord_tk5_pirate_gisuke,仪助,pirate,gisuke,高,1560|1575|1582,1560:1079|1575:1113|1582:1143,1560:土佐水军|1575:房总水军|1582:土佐水军,
9106,lord_tk5_pirate_denhachiroo,传八郎,pirate,denhachiroo,高,1568|1582|1598,1568:1119|1582:1114|1598:1012,1568:相模水军|1582:房总水军|1598:熊野水军,
9107,lord_tk5_pirate_densuke,传助,pirate,densuke,高,1560|1582,1560:1002|1582:1153,1560:丰后水军|1582:五岛水军,
9170,lord_tk5_pirate_sanosuke,佐之助,pirate,sanosuke,高,1554|1568|1598,1554:1116|1568:1146|1598:1020,1554:相模水军|1568:土佐水军|1598:江户水军,
9166,lord_tk5_pirate_saichi,佐市,pirate,saichi,高,1568|1575|1598,1568:1143|1575:1112|1598:1039,1568:村上水军|1575:房总水军|1598:淡路水军,
9160,lord_tk5_pirate_mitsudayuu,光太夫,pirate,mitsudayuu,高,1554|1568|1598,1554:1138|1568:1149|1598:1041,1554:盐饱水军|1568:丰后水军|1598:土佐水军,
9123,lord_tk5_pirate_hachitaroo,八太郎,pirate,hachitaroo,高,1554|1575|1598,1554:1145|1575:1133|1598:1017,1554:土佐水军|1575:淡路水军|1598:五岛水军,
9124,lord_tk5_pirate_hachizaemon,八左卫门,pirate,hachizaemon,高,1560|1568|1582,1560:1066|1568:1158|1582:1121,1560:淡路水军|1568:坊津水军|1582:骏河水军,
9122,lord_tk5_pirate_hachiroo,八郎,pirate,hachiroo,高,1554|1560|1575,1554:1133|1560:1010|1575:1134,1554:淡路水军|1560:房总水军|1575:淡路水军,
9131,lord_tk5_pirate_hyouta,兵太,pirate,hyouta,高,1554|1560|1582,1554:1134|1560:1099|1582:1113,1554:淡路水军|1560:盐饱水军|1582:房总水军,
9120,lord_tk5_pirate_gunbee,军兵卫,pirate,gunbee,高,1598,1598:1049,1598:坊津水军,是
9121,lord_tk5_pirate_gundari,军荼利,pirate,gundari,高,1575|1598,1575:1116|1598:1047,1575:相模水军|1598:坊津水军,
9186,lord_tk5_pirate_takeshizoo,刚藏,pirate,takeshizoo,高,1568|1575|1598,1568:1114|1575:1115|1598:1016,1568:房总水军|1575:房总水军|1598:五岛水军,
9163,lord_tk5_pirate_rikimaru,力丸,pirate,rikimaru,高,1560|1568|1575,1560:1047|1568:1117|1575:1121,1560:相模水军|1568:相模水军|1575:骏河水军,
9164,lord_tk5_pirate_rikiya,力弥,pirate,rikiya,高,1560|1582,1560:1136|1582:1131,1560:坊津水军|1582:丹后水军,
9138,lord_tk5_pirate_kageyu,勘解由,pirate,kageyu,高,1568|1582|1598,1568:1115|1582:1141|1598:1011,1568:房总水军|1582:村上水军|1598:熊野水军,
9137,lord_tk5_pirate_juudayuu,十太夫,pirate,juudayuu,高,1598,1598:1018,1598:五岛水军,
9125,lord_tk5_pirate_hansaburoo,半三郎,pirate,hansaburoo,高,1554|1560|1568|1575|1582,1554:1156|1560:1131|1568:1156|1575:1156|1582:1156,1554:坊津水军|1560:坊津水军|1568:坊津水军|1575:坊津水军|1582:坊津水军,是
9158,lord_tk5_pirate_matahachi,又八,pirate,matahachi,高,1560|1575|1582,1560:1042|1575:1140|1582:1111,1560:相模水军|1575:村上水军|1582:安东水军,
9159,lord_tk5_pirate_matasuke,又助,pirate,matasuke,高,1560|1568|1582,1560:1132|1568:1139|1582:1124,1560:坊津水军|1568:盐饱水军|1582:熊野水军,
9142,lord_tk5_pirate_kichijiroo,吉次郎,pirate,kichijiroo,高,1554|1568|1598,1554:1143|1568:1155|1598:1015,1554:村上水军|1568:五岛水军|1598:五岛水军,
9208,lord_tk5_pirate_zenzoo,善藏,pirate,zenzoo,高,1554|1560|1575|1582,1554:1123|1560:1156|1575:1152|1582:1115,1554:骏河水军|1560:熊野水军|1575:五岛水军|1582:房总水军,
9207,lord_tk5_pirate_zensuke,善辅,pirate,zensuke,高,1554|1568|1575|1598,1554:1132|1568:1118|1575:1131|1598:1042,1554:淡路水军|1568:相模水军|1575:丹后水军|1598:土佐水军,
9144,lord_tk5_pirate_kisanta,喜三太,pirate,kisanta,高,1554|1560|1575,1554:1127|1560:1007|1575:1144,1554:熊野水军|1560:熊野水军|1575:土佐水军,
9110,lord_tk5_pirate_enkichi,圆吉,pirate,enkichi,高,1554|1598,1554:1110|1598:1048,1554:安东水军|1598:坊津水军,
9191,lord_tk5_pirate_tazu,多津,pirate,tazu,高,1568|1575|1582|1598,1568:1153|1575:1153|1582:1152|1598:1019,1568:五岛水军|1575:五岛水军|1582:五岛水军|1598:五岛水军,
9205,lord_tk5_pirate_yashakichi,夜叉吉,pirate,yashakichi,高,1575|1582|1598,1575:1129|1582:1147|1598:1046,1575:丹后水军|1582:丰后水军|1598:坊津水军,
9105,lord_tk5_pirate_daimaru,大丸,pirate,daimaru,高,1554|1560|1582,1554:1148|1560:1021|1582:1154,1554:丰后水军|1560:房总水军|1582:五岛水军,
9104,lord_tk5_pirate_daihachi,大八,pirate,daihachi,高,1575|1582|1598,1575:1138|1582:1135|1598:1008,1575:盐饱水军|1582:盐饱水军|1598:盐饱水军,
9154,lord_tk5_pirate_magoshichi,孙七,pirate,magoshichi,高,1554|1568|1598,1554:1115|1568:1145|1598:1005,1554:房总水军|1568:土佐水军|1598:盐饱水军,
9153,lord_tk5_pirate_magobee,孙兵卫,pirate,magobee,高,1554|1560|1568|1575|1582,1554:1128|1560:1111|1568:1128|1575:1128|1582:1129,1554:丹后水军|1560:丹后水军|1568:丹后水军|1575:丹后水军|1582:丹后水军,是
9168,lord_tk5_pirate_sanezoo,实三,pirate,sanezoo,高,1554|1582|1598,1554:1151|1582:1127|1598:1032,1554:丰后水军|1582:熊野水军|1598:丹后水军,
9194,lord_tk5_pirate_torazoo,寅藏,pirate,torazoo,高,1554|1560|1575,1554:1124|1560:1053|1575:1147,1554:熊野水军|1560:村上水军|1575:土佐水军,
9112,lord_tk5_pirate_fujimatsu,富士松,pirate,fujimatsu,高,1554|1582|1598,1554:1125|1582:1136|1598:1051,1554:熊野水军|1582:盐饱水军|1598:房总水军,
9145,lord_tk5_pirate_kobee,小兵卫,pirate,kobee,高,1554|1575|1598,1554:1158|1575:1136|1598:1007,1554:坊津水军|1575:盐饱水军|1598:盐饱水军,
9148,lord_tk5_pirate_kojuuroo,小十郎,pirate,kojuuroo,高,1554|1560|1582,1554:1114|1560:1073|1582:1151,1554:房总水军|1560:土佐水军|1582:五岛水军,
9149,lord_tk5_pirate_kokichi,小吉,pirate,kokichi,高,1560|1568|1575|1582,1560:1104|1568:1111|1575:1110|1582:1133,1560:盐饱水军|1568:安东水军|1575:安东水军|1582:盐饱水军,
9151,lord_tk5_pirate_koshiroo,小四郎,pirate,koshiroo,高,1568|1575|1598,1568:1150|1575:1159|1598:1001,1568:丰后水军|1575:坊津水军|1598:安东水军,
9146,lord_tk5_pirate_kochuuta,小忠太,pirate,kochuuta,高,1554|1568,1554:1136|1568:1134,1554:盐饱水军|1568:淡路水军,
9147,lord_tk5_pirate_kogenta,小源太,pirate,kogenta,高,1554|1575|1598,1554:1118|1575:1157|1598:1010,1554:相模水军|1575:坊津水军|1598:熊野水军,
9167,lord_tk5_pirate_sakonjiroo,左近次郎,pirate,sakonjiroo,高,1554|1582|1598,1554:1122|1582:1132|1598:1000,1554:骏河水军|1582:丹后水军|1598:安东水军,
9184,lord_tk5_pirate_tairashiroo,平四郎,pirate,tairashiroo,高,1560|1575|1582,1560:1135|1575:1148|1582:1118,1560:坊津水军|1575:丰后水军|1582:相模水军,
9128,lord_tk5_pirate_heita,平太,pirate,heita,高,1560|1582,1560:1012|1582:1148,1560:房总水军|1582:丰后水军,
9185,lord_tk5_pirate_tairazoo,平藏,pirate,tairazoo,高,1554|1560|1582,1554:1131|1560:1123|1582:1140,1554:丹后水军|1560:安东水军|1582:村上水军,
9183,lord_tk5_pirate_tairama,平马,pirate,tairama,高,1560|1568|1575,1560:1147|1568:1138|1575:1158,1560:熊野水军|1568:盐饱水军|1575:坊津水军,
9178,lord_tk5_pirate_shookuroo,庄九郎,pirate,shookuroo,高,1575|1582|1598,1575:1150|1582:1155|1598:1009,1575:丰后水军|1582:五岛水军|1598:盐饱水军,
9099,lord_tk5_pirate_benzoo,弁藏,pirate,benzoo,高,1554|1560|1575,1554:1139|1560:1015|1575:1137,1554:盐饱水军|1560:房总水军|1575:盐饱水军,
9203,lord_tk5_pirate_yajiroo,弥二郎,pirate,yajiroo,高,1554|1560|1568,1554:1120|1560:1001|1568:1124,1554:骏河水军|1560:丰后水军|1568:熊野水军,
9204,lord_tk5_pirate_yakichi,弥吉,pirate,yakichi,高,1560|1582,1560:1023|1582:1138,1560:五岛水军|1582:村上水军,
9201,lord_tk5_pirate_yaichi,弥市,pirate,yaichi,高,1568|1598,1568:1140|1598:1054,1568:村上水军|1598:江户水军,
9202,lord_tk5_pirate_yajibee,弥次兵卫,pirate,yajibee,高,1568|1582|1598,1568:1151|1582:1123|1598:1031,1568:丰后水军|1582:骏河水军|1598:丹后水军,
9181,lord_tk5_pirate_tadabee,忠兵卫,pirate,tadabee,高,1554|1582,1554:1154|1582:1117,1554:五岛水军|1582:相模水军,
9182,lord_tk5_pirate_tadaya,忠弥,pirate,tadaya,高,1568|1575|1598,1568:1142|1575:1145|1598:1030,1568:村上水军|1575:土佐水军|1598:丹后水军,
9180,lord_tk5_pirate_sooichiroo,总一郎,pirate,sooichiroo,高,1568|1582|1598,1568:1132|1582:1134|1598:1022,1568:淡路水军|1582:盐饱水军|1598:江户水军,
9179,lord_tk5_pirate_soohachiroo,惣八郎,pirate,soohachiroo,高,1598,1598:1003,1598:安东水军,是
9113,lord_tk5_pirate_fusataroo,房太郎,pirate,fusataroo,高,1568|1575|1598,1568:1130|1575:1155|1598:1037,1568:丹后水军|1575:五岛水军|1598:淡路水军,
9177,lord_tk5_pirate_shinshichi,新七,pirate,shinshichi,高,1568|1582|1598,1568:1148|1582:1159|1598:1027,1568:丰后水军|1582:坊津水军|1598:村上水军,
9174,lord_tk5_pirate_shingoroo,新五郎,pirate,shingoroo,高,1554|1560|1568,1554:1155|1560:1080|1568:1112,1554:五岛水军|1560:土佐水军|1568:房总水军,
9176,lord_tk5_pirate_shinpachi,新八,pirate,shinpachi,高,1560|1568|1582,1560:1124|1568:1147|1582:1119,1560:安东水军|1568:土佐水军|1582:相模水军,
9175,lord_tk5_pirate_shinhei,晋平,pirate,shinhei,高,1554|1575,1554:1142|1575:1146,1554:村上水军|1575:土佐水军,
9119,lord_tk5_pirate_gonshichiroo,权七郎,pirate,gonshichiroo,高,1560|1575|1582,1560:1137|1575:1154|1582:1122,1560:安东水军|1575:五岛水军|1582:骏河水军,
9118,lord_tk5_pirate_gonpachi,权八,pirate,gonpachi,高,1554|1568|1598,1554:1137|1568:1133|1598:1053,1554:盐饱水军|1568:淡路水军|1598:房总水军,
9117,lord_tk5_pirate_gonbee,权兵卫,pirate,gonbee,高,1554|1560|1582,1554:1126|1560:1003|1582:1112,1554:熊野水军|1560:丰后水军|1582:房总水军,
9126,lord_tk5_pirate_hayashizoo,林藏,pirate,hayashizoo,高,1560|1575|1582,1560:1082|1575:1130|1582:1116,1560:丹后水军|1575:丹后水军|1582:相模水军,
9157,lord_tk5_pirate_masahei,正平,pirate,masahei,高,1568|1575|1598,1568:1135|1575:1117|1598:1004,1568:淡路水军|1575:相模水军|1598:安东水军,
9134,lord_tk5_pirate_jibee,治兵卫,pirate,jibee,高,1554|1560|1575,1554:1129|1560:1052|1575:1135,1554:丹后水军|1560:村上水军|1575:淡路水军,
9136,lord_tk5_pirate_jisuke,治助,pirate,jisuke,高,1568|1575|1598,1568:1121|1575:1120|1598:1036,1568:骏河水军|1575:骏河水军|1598:淡路水军,
9187,lord_tk5_pirate_taki,泷,pirate,taki,高,1554|1560,1554:1153|1560:1029,1554:五岛水军|1560:五岛水军,
9114,lord_tk5_pirate_gennai,源内,pirate,gennai,高,1560,1560:1145,1560:熊野水军,
9133,lord_tk5_pirate_isaburoo,猪三郎,pirate,isaburoo,高,1560|1568|1582,1560:1100|1568:1144|1582:1145,1560:盐饱水军|1568:土佐水军|1582:土佐水军,
9135,lord_tk5_pirate_jingobee,甚五兵卫,pirate,jingobee,高,1598,1598:1040,1598:土佐水军,是
9150,lord_tk5_pirate_koo,甲,pirate,koo,高,1568|1575|1582|1598,1568:1141|1575:1141|1582:1144|1598:1028,1568:村上水军|1575:村上水军|1582:土佐水军|1598:村上水军,
9161,lord_tk5_pirate_mochiyo,百千代,pirate,mochiyo,高,1554|1568|1598,1554:1111|1568:1110|1598:1045,1554:安东水军|1568:安东水军|1598:坊津水军,
9130,lord_tk5_pirate_hyakuhei,百平,pirate,hyakuhei,高,1554|1575|1598,1554:1121|1575:1139|1598:1038,1554:骏河水军|1575:盐饱水军|1598:淡路水军,
9192,lord_tk5_pirate_teizoo,祯三,pirate,teizoo,高,1554|1560|1568,1554:1144|1560:1030|1568:1126,1554:土佐水军|1560:五岛水军|1568:熊野水军,
9195,lord_tk5_pirate_tsunagoroo,纲五郎,pirate,tsunagoroo,高,1554|1568|1598,1554:1157|1568:1123|1598:1043,1554:坊津水军|1568:骏河水军|1598:土佐水军,
9109,lord_tk5_pirate_eishichi,英七,pirate,eishichi,高,1554|1582|1598,1554:1140|1582:1120|1598:1025,1554:村上水军|1582:骏河水军|1598:村上水军,
9111,lord_tk5_pirate_fujiji,藤次,pirate,fujiji,高,1554|1582|1598,1554:1117|1582:1146|1598:1013,1554:相模水军|1582:土佐水军|1598:熊野水军,
9193,lord_tk5_pirate_torachiyo,虎千代,pirate,torachiyo,高,1568|1582|1598,1568:1137|1582:1110|1598:1034,1568:盐饱水军|1582:安东水军|1598:丹后水军,
9141,lord_tk5_pirate_kenkichi,谦吉,pirate,kenkichi,高,1554|1568|1598,1554:1149|1568:1157|1598:1023,1554:丰后水军|1568:坊津水军|1598:江户水军,
9140,lord_tk5_pirate_kanji,贯次,pirate,kanji,高,1568|1575|1582|1598,1568:1152|1575:1111|1582:1137|1598:1014,1568:五岛水军|1575:安东水军|1582:盐饱水军|1598:熊野水军,
9190,lord_tk5_pirate_tatsugoroo,辰五郎,pirate,tatsugoroo,高,1554|1560|1568|1575|1582,1554:1109|1560:1115|1568:1109|1575:1109|1582:1109,1554:安东水军|1560:安东水军|1568:安东水军|1575:安东水军|1582:安东水军,
9108,lord_tk5_pirate_dookuu,道空,pirate,dookuu,高,1554|1575,1554:1150|1575:1124,1554:丰后水军|1575:熊野水军,
